codiu   loinc_code,long_common_name,name,status,component,property,time,system,scale,method,class,type,short_name,example_ucum_units,example_unit,description,history_first_released,history_last_updated,history_last_change_type,version_last_changed_core,fetal_descriptors,panels,groups,related_names,source_files
11820-8,,Fetal Head Diameter.biparietal US,ACTIVE,Diameter.biparietal,Len,Pt,Head^Fetus,Qn,US.measured,OB.US,2,Fet BPD US.meas,cm,cm,Measured at thalamo-basal ganglia level with cavum septi pellucidi view; leading-edge to leading-edge.,1.0j-a,2.73,MIN,,BPD,,,Head; Length; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Skull; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11851-3,,Fetal Head Diameter.occipito-frontal US,ACTIVE,Diameter.occipito-frontal,Len,Pt,Head^Fetus,Qn,US.measured,OB.US,2,Fet Head OFD US.meas,cm,cm,OFD measured outer-to-outer in BPD plane; used for circumference & cephalic index.,1.0j-a,2.58,MAJ,,,,,Head; Length; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Skull; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11860-4,,Cisterna magna [Thickness] US,ACTIVE,Diameter.sagittal,Len,Pt,Cisterna magna^Fetus,Qn,US.measured,OB.US,2,Fet Cisterna magna Diam US.meas,mm,mm,Sagittal diameter of the cisterna magna from the posterior aspect of the cerebellum to the inner aspect of the occipital bone measured in the same plane as is used to determine the maximal transaxial cerebellar diameter,1.0j-a,2.27,MIN,,Cisterna Magna,,,Finding; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Spot; Thickness; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11861-2,,Cisterna magna Thickness [Percentile] US+Per estimated gestational age,ACTIVE,Diameter.sagittal.mean,Len,Pt,Cisterna magna^Fetus,Qn,Estimated from gestational age,OB.US,2,Fet Cisterna magna Diam Est from GA,mm,%,Sagittal diameter of the cisterna magna from the posterior aspect of the cerebellum to the inner aspect of the occipital bone measured in the same plane as is used to determine the maximal transaxial cerebellar diameter,1.0j-a,2.27,MIN,,Cisterna Magna,,,OB; OB.GEN; OB.US; Obstetrics; Percentile; Quantitative; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11863-8,,Fetal Cerebellum Diameter transverse US,ACTIVE,Diameter.transverse,Len,Pt,Cerebellum^Fetus,Qn,US.measured,OB.US,2,Fetal TCD US.meas,mm,cm,Maximal transaxial cerebellar diameter. Valid range 15mm to 54mm.,1.0j-a,2.27,MIN,,Cerebellum,,,Brain.cerebellum; Head; Length; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Skull; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11871-1,,Fetal Femur length/Abdominal circumference derived by US,ACTIVE,Femur length/Abdominal circumference,LenRto,Pt,^Fetus,Qn,US.derived,OB.US,2,Fet FL/AC der US,{ratio},ratio,,1.0j-a,2.27,MIN,,FL/AC,,,Length; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Ratio; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11872-9,,Fetal Ulna [Length] US,ACTIVE,Femur length/Biparietal diameter,LenRto,Pt,^Fetus,Qn,US.derived,OB.US,2,Fet FL/BDP der US,{ratio},ratio,,1.0j-a,2.27,MIN,,FL/BPD; Ulna,,,Length; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11877-8,,Fetal Fibula diaphysis [Length] US,ACTIVE,Fetal presentation,Type,Pt,Pelvis,Nom,US,OB.US,2,Fet pres US,,,,1.0j-a,2.27,MIN,,Presentation,,,Length; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11882-8,,Fetal Sex US,ACTIVE,Fetal sex,Type,Pt,^Fetus,Nom,US,OB.US,2,Fet Sex US,,,,1.0j-a,2.27,MIN,,Genitalia Normal,,,Finding; Nominal; OB; OB.GEN; OB.US; Obstetrics; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11883-6,,Fetal Breathing movement US^Time,ACTIVE,Fetal sex,Type,Pt,^Fetus,Nar,US,OB.US,2,Fet Sex US,,,of a microscopic part of a surgical papule test.,1.0j-a,2.73,MIN,,Genitalia Normal,,,Frequency; OB; OB.GEN; OB.US; Obstetrics; Quantitative; Ultrasound,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11884-4,,Gestational age Estimated,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,Clinical.estimated,OB.US,2,GA Clin est,wk,,Gestational age selected by practitioner using all pertinent information.,1.0j-a,2.73,MIN,,Gestational Age,86346-4 U.S. standard report of fetal death - recommended 2003 revision set; 86347-2 U.S. standard certificate of live birth - recommended 2003 revision set,LG50112-8 Gestational ageTime^Fetus,Composite GA; OB; OB.GEN; OB.US; Obstetrics; Prenatal; Quantitative; Random; Spot,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11885-1,,Gestational age Estimated from last menstrual period,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,Estimated from last menstrual period,OB.US,2,GA Est from LMP,wk,,Estimate based on date of first day of LMP.,1.0j-a,2.73,MIN,,Gestational Age,,LG50112-8 Gestational ageTime^Fetus,LMP; OB; OB.GEN; OB.US; Obstetrics; Prenatal; Quantitative; Random; Spot,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11886-9,,Gestational age Estimated from ovulation date,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,Estimated from ovulation date,OB.US,2,GA Est from ovulation date,d,,Based on putative ovulation date from testing/induction.,1.0j-a,2.40,MIN,,Gestational Age,,LG50112-8 Gestational ageTime^Fetus,OB; OB.GEN; OB.US; Obstetrics; Prenatal; Quantitative; Random; Spot; Time,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11888-5,,Gestational age US composite estimate,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,US.composite.estimated,OB.US,2,GA US.composite.est,wk,,Composite GA from all pertinent ultrasound measurements in the current exam.,1.0j-a,2.73,MIN,,Gestational Age,,LG50112-8 Gestational ageTime^Fetus,OB; OB.GEN; OB.US; Obstetrics; Prenatal; Quantitative; Random; Sonography; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11889-3,,Gestational age estimated from Abdominal circumference on US,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,US+Estimated from AC,OB.US,2,GA from AC,d,days,GA estimated from AC on ultrasound (FETUS only).,1.0j-a,2.27,MIN,,Gestational Age,,LG50112-8 Gestational ageTime^Fetus,Abdominal circumference; Echography; Est; Fetal; GA; Gest; Gestation; Gyn; Gynecology; OB; OB.GEN; OB.US; OBSTERICAL; OBSTERICAL.ULTRASOUND; ObGyn; Obstetrical; Obstetrics; Point in time; Prenatal; QNT; Quan; Quant; Quantitative; Random; Sonogram; Sonograph; Sonography; Spot; Time; ULS; Ultrasound; estimation; predicted,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11890-1,,Gestational age estimated from Abdominal circumference on US by Campbell 1975 method,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,US+Estimated from AC.Campbell 1975,OB.US,2,GA from AC.Campbell75,d,,Acuson formula using AC (polynomial). Range 2.16–9.44 cm.,1.0j-a,2.27,MIN,,,,,OB; OB.GEN; OB.US; Obstetrics; Prenatal; Quantitative; Random; Spot; Time; Ultrasound,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json
11920-6,,Gestational age estimated from Femur length on US by Hadlock 1984 method,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,US+Estimated from FL.Hadlock 1984,OB.US,2,GA from FL.Hadlock84,d,days,,1.0j-a,2.27,MIN,,,,,OB; OB.GEN; OB.US; Obstetrics; Prenatal; Quantitative; Random; Spot; Time; Ultrasound,loinc_fetal_biometry_organized_entries_2.json
11927-1,,Gestational age estimated from Gestational sac diameter on US,ACTIVE,Gestational age,Time,Pt,^Fetus,Qn,US+Estimated from GSD,OB.US,2,GA from GSD,d,days,GA from gestational sac diameter (DICOM SR method reference).,1.0j-a,2.52,MIN,,Gestational Age,,LG50112-8 Gestational ageTime^Fetus,Echography; Est; Fetal; GA; Gest; Gestation; Gestational Sac Diameter; Gyn; Gynecology; OB; OB.GEN; OB.US; OBSTERICAL; OBSTERICAL.ULTRASOUND; ObGyn; Obstetrical; Obstetrics; Point in time; Prenatal; QNT; Quan; Quant; Quantitative; Random; Sonogram; Sonograph; Sonography; Spot; Time; ULS; Ultrasound; estimation; predicted,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
11947-9,,Head circumference/Abdominal circumference derived by US,ACTIVE,Head circumference/Abdominal circumference,LenRto,Pt,^Fetus,Qn,US.derived,OB.US,2,HC/AC der US,{ratio},,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
11948-7,,Fetal Heart rate US,ACTIVE,Heart rate,NRat,Pt,^Fetus,Qn,US.measured,OB.US,2,Fet Heart rate US.meas,{beats}/min,beats/min,,1.0j-a,2.42,MIN,,FHR,,,Count/time; OBSTERICAL.ULTRASOUND; QNT; Random; Ultrasound,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11963-6,,Fetal Femur diaphysis [Length] US,ACTIVE,Long axis,Len,Pt,Femur.diaphysis^Fetus,Qn,US.measured,OB.US,2,Fet Femur Length US.meas,cm,,Hyperechoic ossified portion from greater trochanter to femoral condyles.,1.0j-a,,,,FL/AC; FL/BPD; Femur,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11964-4,,Fetal Fibula diaphysis [Length] US,ACTIVE,Long axis,Len,Pt,Fibula.diaphysis^Fetus,Qn,US.measured,OB.US,2,Fet Fibula Length US.meas,mm,,Length of ossified portion of fibula.,1.0j-a,,,,Fibula,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11966-9,,Fetal Humerus diaphysis [Length] US,ACTIVE,Long axis,Len,Pt,Humerus.diaphysis^Fetus,Qn,US.measured,OB.US,2,Fet Humerus Length US.meas,cm,,Length of ossified portion of humerus.,1.0j-a,,,,Humerus,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11967-7,,Fetal Radius diaphysis [Length] US,ACTIVE,Long axis,Len,Pt,Radius.diaphysis^Fetus,Qn,US.measured,OB.US,2,Fet Radius Length US.meas,mm,,length of ossified portion of radius.,1.0j-a,,,,Radius,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11968-5,,Fetal Tibia diaphysis [Length] US,ACTIVE,Long axis,Len,Pt,Tibia.diaphysis^Fetus,Qn,US.measured,OB.US,2,Fet Tibia Length US.meas,cm,,Length of ossified portion of tibia.,1.0j-a,,,,Tibia,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11969-3,,Fetal Ulna diaphysis [Length] US,ACTIVE,Long axis,Len,Pt,Ulna.diaphysis^Fetus,Qn,US.measured,OB.US,2,Fet Ulna Length US.meas,cm,,Length of ossified portion of ulna.,1.0j-a,,,,Ulna,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11971-9,,Fetal Fibula diaphysis [Length] mean Estimated from gestational age.Merz. 1987,ACTIVE,Long axis.mean,Len,Pt,Fibula.diaphysis^Fetus,Qn,Estimated from gestational age.Merz 1987,OB.US,2,Fet Fibula Length Est from GA.Merz87,mm,,,1.0j-a,,,,Fibula,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11972-7,,Fetal Humerus diaphysis [Length] mean Estimated from gestational age.Merz. 1987,ACTIVE,Long axis.mean,Len,Pt,Humerus.diaphysis^Fetus,Qn,Estimated from gestational age.Merz 1987,OB.US,2,Fet Humerus Length Est from GA.Merz87,mm,,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
11974-3,,Fetal Tibia diaphysis [Length] mean Estimated from gestational age.Merz. 1987,ACTIVE,Long axis.mean,Len,Pt,Tibia.diaphysis^Fetus,Qn,Estimated from gestational age.Merz 1987,OB.US,2,Fet Tibia Length Est from GA.Merz87,mm,,,1.0j-a,,,,Tibia,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11975-0,,Fetal Ulna diaphysis [Length] mean Estimated from gestational age.Merz. 1987,ACTIVE,Long axis.mean,Len,Pt,Ulna.diaphysis^Fetus,Qn,Estimated from gestational age.Merz 1987,OB.US,2,Fet Ulna Length Est from GA.Merz87,mm,,,1.0j-a,,,,Ulna,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11979-2,,Fetal Abdomen Circumference US,ACTIVE,Perimeter,Len,Pt,Abdomen^Fetus,Qn,US.measured,OB.US,2,Fet Abd Circum US.meas,cm,,Generic abdominal circumference when method unspecified.,1.0j-a,2.73,MIN,,AC,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11982-6,,Fetal Head Circumference derived from occipital-frontal diameter and outer-outer transaxial diameter (US),ACTIVE,Perimeter,Len,Pt,Head^Fetus,Qn,US.derived from OFD&O-O TD,OB.US,2,Fet Head Circum by OFD+O-O TD,cm,cm,Derived from measures of occipital-frontal diameter and transaxial diameter assuming shape is an ellipse. The outer to outer transaxial diameter is used. This estimate should be closer to that measured with ellipse overlay or by tracing.,1.0j-a,,,,HC,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
11984-2,,Fetal Head Circumference US,ACTIVE,Perimeter,Len,Pt,Head^Fetus,Qn,US.measured,OB.US,2,Fet Head Circum US.meas,cm,,Generic HC when method not specified.,1.0j-a,2.27,MAJ,,HC,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11985-9,,Fetal Head Circumference measured by ellipse overlay (US),ACTIVE,Perimeter,Len,Pt,Head^Fetus,Qn,US.measured.ellipse overlay,OB.US,2,Fet Head Circum by ellipse overlay,cm,,Measured in same image as BPD via ellipse overlay.,1.0j-a,2.48,MAJ,,HC,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
11994-1,,Placenta position US,ACTIVE,Position.placenta,Find,Pt,Uterus,Nom,US.measured,OB.US,2,Placenta position US.meas,,,Observations describing the position of the placenta.,1.0j-a,,,,Placenta Appearance,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
11995-8,,Narrative Placenta position US,ACTIVE,Position.placenta,Find,Pt,Uterus,Nar,US.measured,OB.US,2,Placenta position US.meas,,,Narrative observations to collectively describe the position of the placenta.,1.0j-a,,,,Placenta Appearance,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12055-0,,Fetal Face Study observation US,ACTIVE,Study observation,Find,Pt,Face^Fetus,Nom,US,OB.US,2,US Face Fetus Study,,,"Used to describe the appearance of face, jaw, tongue, and ear",1.0j-a,,,,Face/Neck Abnormal,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12056-8,,Fetal Face Narrative Study observation US,ACTIVE,Study observation,Find,Pt,Face^Fetus,Nar,US,OB.US,2,US Face Fetus Study,,,"Appearance of fetal face, jaw, tongue, ear.",1.0j-a,,,,Face/Neck Abnormal,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12061-8,,Fetal Intracranial anatomy Study observation US,ACTIVE,Study observation,Find,Pt,Head.intracranial anatomy^Fetus,Nom,US,OB.US,2,US Head.IC Anatomy Fetus Study,,,Term used to include all the descriptions of the head except the face and skull.,1.0j-a,,,,Head Abnormal,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12069-1,,Fetal Head Study observation US,ACTIVE,Study observation,Find,Pt,Head^Fetus,Nom,US,OB.US,2,US Head Fetus Study,,,"This is an inclusive term that would contain descriptions of cranium, intracranial anatomy, and face",1.0j-a,,,,Head Abnormal,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12075-8,,Fetal Heart chambers Study observation US,ACTIVE,Study observation,Find,Pt,Heart.chambers^Fetus,Nom,US,OB.US,2,US Hrt.chambers Fetus Study,,,Coded observations to collectively describe the appearance of all chambers of the fetal heart,1.0j-a,,,,Heart Abnormal,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12076-6,,Fetal Heart chambers Narrative Study observation US,ACTIVE,Study observation,Find,Pt,Heart.chambers^Fetus,Nar,US,OB.US,2,US Hrt.chambers Fetus Study,,,Narrative observations to collectively describe the appearance of all chambers of the fetal heart,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12077-4,,Fetal Heart great vessels Study observation US,ACTIVE,Study observation,Find,Pt,Heart.great vessels^Fetus,Nom,US,OB.US,2,US Hrt.great ves Fetus Study,,,Coded observations to collectively describe the appearance of the great vessels,1.0j-a,,,,Heart Abnormal,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12078-2,,Fetal Heart great vessels Narrative Study observation US,ACTIVE,Study observation,Find,Pt,Heart.great vessels^Fetus,Nar,US,OB.US,2,US Hrt.great ves Fetus Study,,,Narrative observations to collectively describe the appearance of the great vessels,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12086-5,,Fetal Heart valves Study observation US,ACTIVE,Study observation,Find,Pt,Heart.valves^Fetus,Nom,US,OB.US,2,US Hrt.valves Fetus Study,,,Coded observations to collectively describe the appearance of all chambers of the fetal heart,1.0j-a,,,,Heart Abnormal,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12087-3,,Fetal Heart valves Narrative Study observation US,ACTIVE,Study observation,Find,Pt,Heart.valves^Fetus,Nar,US,OB.US,2,US Hrt.valves Fetus Study,,,Narrative observations to describe appearance of all chambers/valves.,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json
12110-3,,Fetal Spine Study observation US,ACTIVE,Study observation,Find,Pt,Spine^Fetus,Nom,US,OB.US,2,US Spine Fetus Study,,,,1.0j-a,,,,Spine Abnormal,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12111-1,,Fetal Spine Narrative Study observation US,ACTIVE,Study observation,Find,Pt,Spine^Fetus,Nar,US,OB.US,2,US Spine Fetus Study,d,days,Description of the fetal spine.,1.0j-a,,,,Gestational Age; Spine Abnormal,,LG50112-8 Gestational ageTime^Fetus,CRL; Gestation; Length; OB; OB.GEN; OB.US; Obstetrics; Prenatal; Random; Spot; Ultrasound,loinc_fetal_biometry_organized_entries_1.json; loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
12116-0,,Fetal Head Diameter.biparietal outer to inner US,ACTIVE,Study observation,Find,Pt,Umbilical cord^Fetus,Nom,US,OB.US,2,US Umbilical cord Fetus Study,mm,mm,,1.0j-a,,,,BPD,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
12117-8,,Fetal Head Diameter.biparietal outer to outer US,ACTIVE,Study observation,Find,Pt,Umbilical cord^Fetus,Nar,US,OB.US,2,US Umbilical cord Fetus Study,mm,mm,,1.0j-a,,,,BPD,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json; v1/v2 CSVs
12120-2,,Fetal Heart Study observation US,ACTIVE,Study observation,Find,Pt,Vena cava.inferior^Fetus,Nom,US,OB.US,2,US IVC Fetus Study,,,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
12121-0,,Fetal Gestational age Estimated from patient reported estimated date of conception,ACTIVE,Study observation,Find,Pt,Vena cava.inferior^Fetus,Nar,US,OB.US,2,US IVC Fetus Study,d,days,,1.0j-a,,,,Gestational Age,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12122-8,,Fetal Gestational age Estimated from conception date,ACTIVE,Study observation,Find,Pt,Vena cava.superior^Fetus,Nom,US,OB.US,2,US SVC Fetus Study,,,,1.0j-a,,,,Gestational Age,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12123-6,,Fetal Femur diaphysis [Length] mean Estimated from gestational age,ACTIVE,Study observation,Find,Pt,Vena cava.superior^Fetus,Nar,US,OB.US,2,US SVC Fetus Study,mm,mm,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json; v1/v2 CSVs
12124-4,,Fetal Heart rate,ACTIVE,Study observation,Find,Pt,Vena cava^Fetus,Nom,US,OB.US,2,US VC Fetus Study,{beats}/min,,,1.0j-a,,,,FHR,,,,loinc_fetal_biometry_organized_entries_2.json; loinc_fetal_biometry_organized_entries_3.json
12125-1,,Fetal Heart rate by Auscultation,ACTIVE,Study observation,Find,Pt,Vena cava^Fetus,Nar,US,OB.US,2,US VC Fetus Study,{beats}/min,beats/min,,1.0j-a,,,,,,,,loinc_fetal_biometry_organized_entries_2.json
